Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
3-pack-ribbed-triangular-scarves-mantri-mall,3-pack ribbed triangular scarves,,,Accessories,,"Accessories, baby, Mantri Mall",TRUE,Size,032,,,,,,,shopify,1000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/bf/16/bf164a1a2a2d666e071c99b25b44ba99234f6371.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
3-pack-ribbed-triangular-scarves-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/c2/b8/c2b8440d8a733f8a03d4379c892ad557fb16f709.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-triangular-scarves-prestige-falcon-city,3-pack ribbed triangular scarves,,,Accessories,,"Accessories, baby, Prestige Falcon city",TRUE,Size,032,,,,,,,shopify,1000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/bf/16/bf164a1a2a2d666e071c99b25b44ba99234f6371.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
3-pack-ribbed-triangular-scarves-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/c2/b8/c2b8440d8a733f8a03d4379c892ad557fb16f709.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
knitted-chin-tie-beanie-mantri-mall,Knitted chin-tie beanie,,,Accessories,,"Accessories, baby, Mantri Mall",TRUE,Size,002,,,,,,,shopify,2000.0,deny,manual,749.00,,,,,https://image.hm.com/assets/hm/a5/81/a5810042756ee77f59521cc1a2f20dc758c3721f.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
knitted-chin-tie-beanie-mantri-mall,,,,,,,,Size,008,,,,,,,shopify,2000.0,deny,manual,749.00,,,,,https://image.hm.com/assets/hm/a9/b7/a9b7c29b4c1e8d9de0b873592ad59ad2dabe4860.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
knitted-chin-tie-beanie-mantri-mall,,,,,,,,Size,011,,,,,,,shopify,2000.0,deny,manual,749.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitted-chin-tie-beanie-prestige-falcon-city,Knitted chin-tie beanie,,,Accessories,,"Accessories, baby, Prestige Falcon city",TRUE,Size,002,,,,,,,shopify,2000.0,deny,manual,749.00,,,,,https://image.hm.com/assets/hm/a5/81/a5810042756ee77f59521cc1a2f20dc758c3721f.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
knitted-chin-tie-beanie-prestige-falcon-city,,,,,,,,Size,005,,,,,,,shopify,2000.0,deny,manual,749.00,,,,,https://image.hm.com/assets/hm/a9/b7/a9b7c29b4c1e8d9de0b873592ad59ad2dabe4860.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
knitted-chin-tie-beanie-prestige-falcon-city,,,,,,,,Size,008,,,,,,,shopify,1000.0,deny,manual,749.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knitted-chin-tie-beanie-prestige-falcon-city,,,,,,,,Size,011,,,,,,,shopify,2000.0,deny,manual,749.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
