Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
1109561011-1mg-mall,Hair elastics and clips,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,15000.0,deny,manual,299.00,,,,,https://image.hm.com/assets/hm/d5/33/d5336d85696c2ff96ee53f54cd1bdea4b4a8b986.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1109561011-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/d9/4c/d94c0732ee712e4b8b073d3ea7290f0b2bf93d2e.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1109561011-mantri-mall,Hair elastics and clips,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,001,,,,,,,shopify,18000.0,deny,manual,299.00,,,,,https://image.hm.com/assets/hm/d5/33/d5336d85696c2ff96ee53f54cd1bdea4b4a8b986.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1109561011-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/d9/4c/d94c0732ee712e4b8b073d3ea7290f0b2bf93d2e.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1109561011-prestige-falcon-city,Hair elastics and clips,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,001,,,,,,,shopify,17000.0,deny,manual,299.00,,,,,https://image.hm.com/assets/hm/d5/33/d5336d85696c2ff96ee53f54cd1bdea4b4a8b986.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1109561011-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/d9/4c/d94c0732ee712e4b8b073d3ea7290f0b2bf93d2e.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1231932002-1mg-mall,Shoulder bag,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,5000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/d5/d9/d5d97f4b87eedf4770fc06f9d1075238b3587a84.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1231932002-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/32/92/32924c1780cb4da62c42cd2605087213c6331231.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1231932002-mantri-mall,Shoulder bag,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,001,,,,,,,shopify,4000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/d5/d9/d5d97f4b87eedf4770fc06f9d1075238b3587a84.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1231932002-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/32/92/32924c1780cb4da62c42cd2605087213c6331231.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
