Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
1240433001-1mg-mall,Small shoulder bag,,,Bags,,"Bags, men, 1MG Mall",TRUE,Size,001,,,,,,,shopify,5000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/87/ee/87eea28283d0c6582cbdb47b1397d90a1a11ad3d.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1240433001-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/5d/11/5d119afd0ca3d9e88b3a3518dfab933dc1dcdeba.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1240433001-mantri-mall,Small shoulder bag,,,Bags,,"Bags, men, Mantri Mall",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/87/ee/87eea28283d0c6582cbdb47b1397d90a1a11ad3d.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1240433001-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/5d/11/5d119afd0ca3d9e88b3a3518dfab933dc1dcdeba.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1240433001-vega-city,Small shoulder bag,,,Bags,,"Bags, men, Vega City",TRUE,Size,001,,,,,,,shopify,2000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/87/ee/87eea28283d0c6582cbdb47b1397d90a1a11ad3d.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1240433001-vega-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/5d/11/5d119afd0ca3d9e88b3a3518dfab933dc1dcdeba.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1240433001-prestige-falcon-city,Small shoulder bag,,,Bags,,"Bags, men, Prestige Falcon city",TRUE,Size,001,,,,,,,shopify,5000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/87/ee/87eea28283d0c6582cbdb47b1397d90a1a11ad3d.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1240433001-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/5d/11/5d119afd0ca3d9e88b3a3518dfab933dc1dcdeba.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1240432001-1mg-mall,Shoulder bag,,,Bags,,"Bags, men, 1MG Mall",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,2299.00,,,,,https://image.hm.com/assets/hm/3c/4b/3c4b98e959c399bc19e3b3b477a1119a6d93c684.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1240432001-mantri-mall,Shoulder bag,,,Bags,,"Bags, men, Mantri Mall",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,2299.00,,,,,https://image.hm.com/assets/hm/3c/4b/3c4b98e959c399bc19e3b3b477a1119a6d93c684.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
